ms_param,pt_param
embed.embedding_table,embed.weight
trfm.encoder.layers.0.self_attn.in_proj_weight,trfm.encoder.layers.0.self_attn.in_proj_weight
trfm.encoder.layers.0.self_attn.in_proj_bias,trfm.encoder.layers.0.self_attn.in_proj_bias
trfm.encoder.layers.0.self_attn.out_proj.weight,trfm.encoder.layers.0.self_attn.out_proj.weight
trfm.encoder.layers.0.self_attn.out_proj.bias,trfm.encoder.layers.0.self_attn.out_proj.bias
trfm.encoder.layers.0.dense1.weight,trfm.encoder.layers.0.linear1.weight
trfm.encoder.layers.0.dense1.bias,trfm.encoder.layers.0.linear1.bias
trfm.encoder.layers.0.dense2.weight,trfm.encoder.layers.0.linear2.weight
trfm.encoder.layers.0.dense2.bias,trfm.encoder.layers.0.linear2.bias
trfm.encoder.layers.0.norm1.gamma,trfm.encoder.layers.0.norm1.weight
trfm.encoder.layers.0.norm1.beta,trfm.encoder.layers.0.norm1.bias
trfm.encoder.layers.0.norm2.gamma,trfm.encoder.layers.0.norm2.weight
trfm.encoder.layers.0.norm2.beta,trfm.encoder.layers.0.norm2.bias
trfm.encoder.layers.1.self_attn.in_proj_weight,trfm.encoder.layers.1.self_attn.in_proj_weight
trfm.encoder.layers.1.self_attn.in_proj_bias,trfm.encoder.layers.1.self_attn.in_proj_bias
trfm.encoder.layers.1.self_attn.out_proj.weight,trfm.encoder.layers.1.self_attn.out_proj.weight
trfm.encoder.layers.1.self_attn.out_proj.bias,trfm.encoder.layers.1.self_attn.out_proj.bias
trfm.encoder.layers.1.dense1.weight,trfm.encoder.layers.1.linear1.weight
trfm.encoder.layers.1.dense1.bias,trfm.encoder.layers.1.linear1.bias
trfm.encoder.layers.1.dense2.weight,trfm.encoder.layers.1.linear2.weight
trfm.encoder.layers.1.dense2.bias,trfm.encoder.layers.1.linear2.bias
trfm.encoder.layers.1.norm1.gamma,trfm.encoder.layers.1.norm1.weight
trfm.encoder.layers.1.norm1.beta,trfm.encoder.layers.1.norm1.bias
trfm.encoder.layers.1.norm2.gamma,trfm.encoder.layers.1.norm2.weight
trfm.encoder.layers.1.norm2.beta,trfm.encoder.layers.1.norm2.bias
trfm.encoder.layers.2.self_attn.in_proj_weight,trfm.encoder.layers.2.self_attn.in_proj_weight
trfm.encoder.layers.2.self_attn.in_proj_bias,trfm.encoder.layers.2.self_attn.in_proj_bias
trfm.encoder.layers.2.self_attn.out_proj.weight,trfm.encoder.layers.2.self_attn.out_proj.weight
trfm.encoder.layers.2.self_attn.out_proj.bias,trfm.encoder.layers.2.self_attn.out_proj.bias
trfm.encoder.layers.2.dense1.weight,trfm.encoder.layers.2.linear1.weight
trfm.encoder.layers.2.dense1.bias,trfm.encoder.layers.2.linear1.bias
trfm.encoder.layers.2.dense2.weight,trfm.encoder.layers.2.linear2.weight
trfm.encoder.layers.2.dense2.bias,trfm.encoder.layers.2.linear2.bias
trfm.encoder.layers.2.norm1.gamma,trfm.encoder.layers.2.norm1.weight
trfm.encoder.layers.2.norm1.beta,trfm.encoder.layers.2.norm1.bias
trfm.encoder.layers.2.norm2.gamma,trfm.encoder.layers.2.norm2.weight
trfm.encoder.layers.2.norm2.beta,trfm.encoder.layers.2.norm2.bias
trfm.encoder.layers.3.self_attn.in_proj_weight,trfm.encoder.layers.3.self_attn.in_proj_weight
trfm.encoder.layers.3.self_attn.in_proj_bias,trfm.encoder.layers.3.self_attn.in_proj_bias
trfm.encoder.layers.3.self_attn.out_proj.weight,trfm.encoder.layers.3.self_attn.out_proj.weight
trfm.encoder.layers.3.self_attn.out_proj.bias,trfm.encoder.layers.3.self_attn.out_proj.bias
trfm.encoder.layers.3.dense1.weight,trfm.encoder.layers.3.linear1.weight
trfm.encoder.layers.3.dense1.bias,trfm.encoder.layers.3.linear1.bias
trfm.encoder.layers.3.dense2.weight,trfm.encoder.layers.3.linear2.weight
trfm.encoder.layers.3.dense2.bias,trfm.encoder.layers.3.linear2.bias
trfm.encoder.layers.3.norm1.gamma,trfm.encoder.layers.3.norm1.weight
trfm.encoder.layers.3.norm1.beta,trfm.encoder.layers.3.norm1.bias
trfm.encoder.layers.3.norm2.gamma,trfm.encoder.layers.3.norm2.weight
trfm.encoder.layers.3.norm2.beta,trfm.encoder.layers.3.norm2.bias
trfm.encoder.norm.gamma,trfm.encoder.norm.weight
trfm.encoder.norm.beta,trfm.encoder.norm.bias
trfm.decoder.layers.0.self_attn.in_proj_weight,trfm.decoder.layers.0.self_attn.in_proj_weight
trfm.decoder.layers.0.self_attn.in_proj_bias,trfm.decoder.layers.0.self_attn.in_proj_bias
trfm.decoder.layers.0.self_attn.out_proj.weight,trfm.decoder.layers.0.self_attn.out_proj.weight
trfm.decoder.layers.0.self_attn.out_proj.bias,trfm.decoder.layers.0.self_attn.out_proj.bias
trfm.decoder.layers.0.multihead_attn.in_proj_weight,trfm.decoder.layers.0.multihead_attn.in_proj_weight
trfm.decoder.layers.0.multihead_attn.in_proj_bias,trfm.decoder.layers.0.multihead_attn.in_proj_bias
trfm.decoder.layers.0.multihead_attn.out_proj.weight,trfm.decoder.layers.0.multihead_attn.out_proj.weight
trfm.decoder.layers.0.multihead_attn.out_proj.bias,trfm.decoder.layers.0.multihead_attn.out_proj.bias
trfm.decoder.layers.0.dense1.weight,trfm.decoder.layers.0.linear1.weight
trfm.decoder.layers.0.dense1.bias,trfm.decoder.layers.0.linear1.bias
trfm.decoder.layers.0.dense2.weight,trfm.decoder.layers.0.linear2.weight
trfm.decoder.layers.0.dense2.bias,trfm.decoder.layers.0.linear2.bias
trfm.decoder.layers.0.norm1.gamma,trfm.decoder.layers.0.norm1.weight
trfm.decoder.layers.0.norm1.beta,trfm.decoder.layers.0.norm1.bias
trfm.decoder.layers.0.norm2.gamma,trfm.decoder.layers.0.norm2.weight
trfm.decoder.layers.0.norm2.beta,trfm.decoder.layers.0.norm2.bias
trfm.decoder.layers.0.norm3.gamma,trfm.decoder.layers.0.norm3.weight
trfm.decoder.layers.0.norm3.beta,trfm.decoder.layers.0.norm3.bias
trfm.decoder.layers.1.self_attn.in_proj_weight,trfm.decoder.layers.1.self_attn.in_proj_weight
trfm.decoder.layers.1.self_attn.in_proj_bias,trfm.decoder.layers.1.self_attn.in_proj_bias
trfm.decoder.layers.1.self_attn.out_proj.weight,trfm.decoder.layers.1.self_attn.out_proj.weight
trfm.decoder.layers.1.self_attn.out_proj.bias,trfm.decoder.layers.1.self_attn.out_proj.bias
trfm.decoder.layers.1.multihead_attn.in_proj_weight,trfm.decoder.layers.1.multihead_attn.in_proj_weight
trfm.decoder.layers.1.multihead_attn.in_proj_bias,trfm.decoder.layers.1.multihead_attn.in_proj_bias
trfm.decoder.layers.1.multihead_attn.out_proj.weight,trfm.decoder.layers.1.multihead_attn.out_proj.weight
trfm.decoder.layers.1.multihead_attn.out_proj.bias,trfm.decoder.layers.1.multihead_attn.out_proj.bias
trfm.decoder.layers.1.dense1.weight,trfm.decoder.layers.1.linear1.weight
trfm.decoder.layers.1.dense1.bias,trfm.decoder.layers.1.linear1.bias
trfm.decoder.layers.1.dense2.weight,trfm.decoder.layers.1.linear2.weight
trfm.decoder.layers.1.dense2.bias,trfm.decoder.layers.1.linear2.bias
trfm.decoder.layers.1.norm1.gamma,trfm.decoder.layers.1.norm1.weight
trfm.decoder.layers.1.norm1.beta,trfm.decoder.layers.1.norm1.bias
trfm.decoder.layers.1.norm2.gamma,trfm.decoder.layers.1.norm2.weight
trfm.decoder.layers.1.norm2.beta,trfm.decoder.layers.1.norm2.bias
trfm.decoder.layers.1.norm3.gamma,trfm.decoder.layers.1.norm3.weight
trfm.decoder.layers.1.norm3.beta,trfm.decoder.layers.1.norm3.bias
trfm.decoder.layers.2.self_attn.in_proj_weight,trfm.decoder.layers.2.self_attn.in_proj_weight
trfm.decoder.layers.2.self_attn.in_proj_bias,trfm.decoder.layers.2.self_attn.in_proj_bias
trfm.decoder.layers.2.self_attn.out_proj.weight,trfm.decoder.layers.2.self_attn.out_proj.weight
trfm.decoder.layers.2.self_attn.out_proj.bias,trfm.decoder.layers.2.self_attn.out_proj.bias
trfm.decoder.layers.2.multihead_attn.in_proj_weight,trfm.decoder.layers.2.multihead_attn.in_proj_weight
trfm.decoder.layers.2.multihead_attn.in_proj_bias,trfm.decoder.layers.2.multihead_attn.in_proj_bias
trfm.decoder.layers.2.multihead_attn.out_proj.weight,trfm.decoder.layers.2.multihead_attn.out_proj.weight
trfm.decoder.layers.2.multihead_attn.out_proj.bias,trfm.decoder.layers.2.multihead_attn.out_proj.bias
trfm.decoder.layers.2.dense1.weight,trfm.decoder.layers.2.linear1.weight
trfm.decoder.layers.2.dense1.bias,trfm.decoder.layers.2.linear1.bias
trfm.decoder.layers.2.dense2.weight,trfm.decoder.layers.2.linear2.weight
trfm.decoder.layers.2.dense2.bias,trfm.decoder.layers.2.linear2.bias
trfm.decoder.layers.2.norm1.gamma,trfm.decoder.layers.2.norm1.weight
trfm.decoder.layers.2.norm1.beta,trfm.decoder.layers.2.norm1.bias
trfm.decoder.layers.2.norm2.gamma,trfm.decoder.layers.2.norm2.weight
trfm.decoder.layers.2.norm2.beta,trfm.decoder.layers.2.norm2.bias
trfm.decoder.layers.2.norm3.gamma,trfm.decoder.layers.2.norm3.weight
trfm.decoder.layers.2.norm3.beta,trfm.decoder.layers.2.norm3.bias
trfm.decoder.layers.3.self_attn.in_proj_weight,trfm.decoder.layers.3.self_attn.in_proj_weight
trfm.decoder.layers.3.self_attn.in_proj_bias,trfm.decoder.layers.3.self_attn.in_proj_bias
trfm.decoder.layers.3.self_attn.out_proj.weight,trfm.decoder.layers.3.self_attn.out_proj.weight
trfm.decoder.layers.3.self_attn.out_proj.bias,trfm.decoder.layers.3.self_attn.out_proj.bias
trfm.decoder.layers.3.multihead_attn.in_proj_weight,trfm.decoder.layers.3.multihead_attn.in_proj_weight
trfm.decoder.layers.3.multihead_attn.in_proj_bias,trfm.decoder.layers.3.multihead_attn.in_proj_bias
trfm.decoder.layers.3.multihead_attn.out_proj.weight,trfm.decoder.layers.3.multihead_attn.out_proj.weight
trfm.decoder.layers.3.multihead_attn.out_proj.bias,trfm.decoder.layers.3.multihead_attn.out_proj.bias
trfm.decoder.layers.3.dense1.weight,trfm.decoder.layers.3.linear1.weight
trfm.decoder.layers.3.dense1.bias,trfm.decoder.layers.3.linear1.bias
trfm.decoder.layers.3.dense2.weight,trfm.decoder.layers.3.linear2.weight
trfm.decoder.layers.3.dense2.bias,trfm.decoder.layers.3.linear2.bias
trfm.decoder.layers.3.norm1.gamma,trfm.decoder.layers.3.norm1.weight
trfm.decoder.layers.3.norm1.beta,trfm.decoder.layers.3.norm1.bias
trfm.decoder.layers.3.norm2.gamma,trfm.decoder.layers.3.norm2.weight
trfm.decoder.layers.3.norm2.beta,trfm.decoder.layers.3.norm2.bias
trfm.decoder.layers.3.norm3.gamma,trfm.decoder.layers.3.norm3.weight
trfm.decoder.layers.3.norm3.beta,trfm.decoder.layers.3.norm3.bias
trfm.decoder.norm.gamma,trfm.decoder.norm.weight
trfm.decoder.norm.beta,trfm.decoder.norm.bias
out.weight,out.weight
out.bias,out.bias
